name,service_id,alternative_name,parent_service_type,service_type,alt_type,short_desc ,description ,outcomes,how_to_access,organization,service_area,audience,eligibility,documentation_required,facilities,languages,urls,emails,phones,hours_available,staff_contacts,fees,method_of_payment,funding_sources,wait,Source,Last Updated,Notes
Encore Community Services - On-site Meals,11,,Services,"Food/Meals & Pantry, Food","Access and Functional Needs, Aging, Disabilities",Encore's on-site meal program for Seniors,"Encore manages multiple senior facilities in the Times Square and Clinton communities in midtown Manhattan. In addition, Encore runs a on-site and home delivery meal program as well as a Senior Center. ",Food,"Visit Senior Center or contact Nieves Tavares, Assistant Director, Senior Center: 212-581-2910, Ext. 127",Encore Community Services,Manhattan,"Seniors, Caregivers",Seniors,,"239 West 49th Street, New York, New York 10019",,http://encorecommunityservices.org,, (212) 581-2910 ext127,"1st Lunch:   11:00 AM

(Tickets for 1st Lunch available until 11:30 AM)
2nd Lunch:  12:30 PM

(Tickets for 2nd Lunch available until 1:00 PM)","Nieves Tavares, Assistant Director, Senior Center","A donation of $1.50  issuggested for each person to help offset the cost of the meal. No eligible senior shall be denied a meal for inability or failure to 
contribute.",,,,New York Hurricane Sandy Disaster Recovery Resources,,"Located in the lower level of St. Malachy’s Church, 239 West 49th Street, New York, New York 10019"
Encore Community Services - Meal Delivery,12,,Services,"Food/Meals & Pantry, Food","Access and Functional Needs, Aging, Disabilities",Encore's meal-delivery program,"Encore manages multiple senior facilities in the Times Square and Clinton communities in midtown Manhattan. In addition, Encore runs a on-site and home delivery meal program as well as a Senior Center. ",Food,"Contact Encore’s Program Coordinator Adela Rodriguez 212-581-2910 Ext. 130


",Encore Community Services,West side of Manhattan,"Seniors, Caregivers",Homebound Seniors,Age verification,"239 West 49th Street, New York, New York 10019",,http://encorecommunityservices.org,,(212) 581-2910 ext130,,Program Coordinator Adela Rodriguez 212-581-2910 Ext. 130,,,,,New York Hurricane Sandy Disaster Recovery Resources,,"Located at St. Malachy’s, The Actors’ Chapel, Administrative Offices, 239 West 49th Street New York, New York 10019"
Encore Community Services - Outreach,13,,Services,Senior Care,"Access and Functional Needs, Aging, Disabilities","Encore also reaches out to elderly who are homebound, who no  longer are able to make the trip to a senior center, or who have little  or no access to support services. ","Encore manages multiple senior facilities in the Times Square and Clinton communities in midtown Manhattan. In addition, Encore runs a on-site and home delivery meal program as well as a Senior Center. ","Counseling, Support services",Contact Encore's administrative office at (212) 581-2910. ,Encore Community Services,New York City,"Seniors, Caregivers",Homebound Seniors,Age verification,"239 West 49th Street, New York, New York 10019",,http://encorecommunityservices.org,,(212) 581-2910,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,"Located at St. Malachy’s, The Actors’ Chapel, Administrative Offices, 239 West 49th Street New York, New York 10019"
Encore Community Services - Senior Center,14,,Services,"Senior Care, Benefits Assistance","Access and Functional Needs, Aging, Disabilities","Encore's Senior Center offers  a veriety of recreational programming, social services, benefits assistance and health programs for Seniors ","Encore manages multiple senior facilities in the Times Square and Clinton communities in midtown Manhattan. In addition, Encore runs a on-site and home delivery meal program as well as a Senior Center. ","Support Services, Access to Benefits, Access to recreational programming","Visit Senior Center or contact Nieves Tavares, Assistant Director, Senior Center: 212-581-2910, Ext. 127",Encore Community Services,Manhattan,"Seniors, Caregivers","Seniors, 60+",,"239 West 49th Street, New York, New York 10019",,http://encorecommunityservices.org,,(212) 581-2910," 9:00 AM to 4:00 PM, Mon. to Fri.","Nieves Tavares, Assistant Director, Senior Center",,,,,New York Hurricane Sandy Disaster Recovery Resources,,"Located at St. Malachy’s, The Actors’ Chapel, Administrative Offices, 239 West 49th Street New York, New York 10019"
NYC Fire Department Smoke & C02 Detectors program,15,,Material Donations,Other Material Donations,"Access and Functional Needs, Aging, Disabilities",Smoke detectors for senior/hearing impaired Sandy surviors,"NYC Fire Department has 2000 detectors available for Sandy survivors (62+ years of age or those with hearing impairment) in the following communities: Brooklyn Community Board 13, 15 & 18 (Sheepshead Bay, Gerritsen, Marine Park, Coney Island and Brighton Beach); Far Rockaway; Howard Beach; and some neighborhoods of Staten Island.",Smoke detectors,Contact: Christopher.Hogan@fedny.ncy.gov / 718-281-3872,Fire Dept. of NY,"Sheepshead Bay, Gerritsen Beach, Marine Park, Coney Island and Brighton Beach, Far Rockaway, Howard Beach, Staten Island","Seniors, Hearing Impaired ",Seniors affected by Sandy ,,,,,Christopher.Hogan@fedny.ncy.gov,(718) 281-3872,,Christopher Hogan,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Home Free Home,16,,Services,"For Home Owners, Other Housing Services","Access and Functional Needs, Aging, Disabilities",HomeFreeHome.org is a group of volunteer Architects who design barrier-free home renovations. ,"HomeFreeHome.org connectd people with disabilities to local volunteer architects to create designs for small-scale construction projects such as; ramps, accessible bathrooms and kitchens. NOTE: Due to funding limitations we’re unable to accept any new applications at this time. Please join our email list to be notified when applications open again - http://homefreehome.org/get-started/download-client-application/",Accessible dwelling units,"Application, home evaluation, phone interview. ",Home Free Home,United States,"Low-income, Disabled, Homeowners, Caregivers",Disabled homeowners,,"66 Hillview Avenue, Port Washington, NY 11050",,http://www.homefreehome.org/,info@homefreehome.org,(516) 883-0403,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Brooklyn Center for Independence of the Disabled (BCID),17,,Services,"Advocacy, Referrals, Benefits Assistance","Access and Functional Needs, Aging, Disabilities",Counseling and support services for the disabled in Brooklyn,"Since 1956, BCID has been a consumer-based, non-profit agency providing  services and advocacy toward independent living for individuals with disabilities.","Counseling, Support services",Call or visit the office.,Brooklyn Center for Independence of the Disabled (BCID),Brooklyn,"Disabled, Caregivers",Disabled,,"27 Smith Street, Suite 200, Brooklyn, NY 11201","Russian, Polish, Ukrainian, Serbian, Bulgarian, Croatian, Macedonian, Spanish, American Sign Language",http://www.bcid.org/our_services,, (718) 998-3000; (718) 998-7406,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
"Center for Independence of the Disabled, New York",18,,Services,"Advocacy, Referrals, Benefits Assistance","Access and Functional Needs, Aging, Disabilities",Counseling and support services for the disabled in Manhattan and Queens,"The Center for Independence of the Disabled, New York's (CIDNY) goal is  to ensure full integration, independence and equal opportunity for all people with disabilities by removing barriers to the social, economic, cultural and civic life of the community. Benefits and housing  advisement and walk in clinic:","Counseling, Support services",Call or visit the office.,"Center for Independence of the Disabled, New York","Manhattan, Queens","Disabled, Caregivers",Disabled,,"841 Broadway, Suite 301, New York, NY",,www.cidny.org,,(212) 674-2300; (646) 442-1520,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,Manhattan: (212) 674-2300 Queens: (646) 442-1520
Rockland Independent Living Center,19,,Services,"Advocacy, Referrals, Benefits Assistance","Access and Functional Needs, Aging, Disabilities",Counseling and support services for the disabled in Rockland county,,"Counseling, Support services",Call or visit the office.,Rockland Independent Living Center,Rockland County,"Disabled, Caregivers",Disabled,,"873 Rt 45, Suite 108, New City, NY 10956",,www.rilc.org,info@rilc.org,"(845) 624-1366; (845) 624-0847

",,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,"TEL (845) 624 1366
TTY (845) 624 0847

"
Staten Island Center for Independent Living,20,,Services,"Advocacy, Referrals, Benefits Assistance","Access and Functional Needs, Aging, Disabilities",Counseling and support services for the disabled in Staten Island,,"Counseling, Support services",Call or visit the office.,Staten Island Center for Independent Living,Staten Island,"Disabled, Caregivers",Disabled,,"470 Castleton Avenue, Staten Island, NY 10301 ",,http://www.siciliving.org/,sicil@siciliving.org,"(718) 720-9016; (718) 720-9870
",,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,"TEL (718) 720-9016
TTY (718) 720-9870
"
"
Suffolk Initiated Living Options, Inc.",21,,Services,"Advocacy, Referrals, Benefits Assistance","Access and Functional Needs, Aging, Disabilities",Counseling and support services for the disabled in Suffolk,,"Counseling, Support services",Call or visit the office.,"Suffolk Initiated Living Options, Inc.",Suffolk County,"Disabled, Caregivers",Disabled,,"2111 Lakeland Avenue, Ronkonkoma, NY 11779 ",,https://www.siloinc.org/,contact@siloinc.org,(631) 880-7929; (631) 654-8076,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,"TEL (631)880-7929
TTY (631) 654-8076"
Westchester Independent Living Center,22,,Services,"Advocacy, Referrals, Benefits Assistance","Access and Functional Needs, Aging, Disabilities",Counseling and support services for the disabled in White Plains,,"Counseling, Support services",Call or visit the office.,Westchester Independent Living Center,White Plains,"Disabled, Caregivers",Disabled,,"200 Hamilton Avenue, White Plains, NY 10601 ",,www.wilc.org,jbravo297@aol.com,"(914) 682-3926; (914) 682-0926; (866) 933-5390

",,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,"TEL (914) 682-3926 TTY (914) 682-0926
Sorenson Video Phone (866) 933 5390

"
"Westchester Disabled on the Move, Inc.",23,,Services,"Advocacy, Referrals, Benefits Assistance","Access and Functional Needs, Aging, Disabilities",Counseling and support services for the disabled in Yonkers,,"Counseling, Support services",Call or visit the office.,"Westchester Disabled on the Move, Inc.",Yonkers,"Disabled, Caregivers",Disabled,,"984 No. Broadway, Suite L-10 Yonkers, NY 10701 ",,www.wdom.org,info@wdom.org,(914) 968-4717,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,TEL (914) 968-4717 V & TTY
Mayor's Office for People with Disabilities,24,,Services,"Referrals, Benefits Assistance","Access and Functional Needs, Aging, Disabilities",Referrals for a range of services provided by New York City for the disabled.,"Mayor's Office for People with Disabilities works hand-in-hand with other City agencies to assure that the voice of the disabled community is represented and that City programs and policies address the needs of people with disabilities. We have developed a number of informative brochures and directories that detail programs, services, activities, and other resources that are accessible to people with disabilities.In addition, we work with organizations on specific issues affecting people with disabilities, and arrange activities and events that aim to 
bring about dialog that leads to meaningful outcomes.",Access to support services,Call the office,Mayor's Office for People with Disabilities,New York City,"Disabled, Caregivers",,,"100 Gold Street, 2nd Floor, New York, NY 10038",,http://www.nyc.gov/html/mopd/html/about/about.shtml,,(212) 639-9675,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,"Call 311
Call 212-NEW-YORK (Out-of-City)
Call 711 (Relay Service for Deaf/Hard of Hearing)"
NYS Office for the Aging - myBenefits,25,,Services,Benefits Assistance,"Access and Functional Needs, Aging, Disabilities", myBenefits is a tool for getting information on New York State’s programs and services.  ,,"Food stamps, Cash benefit assistance, HEAP, tax credits, WIC, health insurance ",Visit website - https://mybenefits.ny.gov/web/otda,NYS Office for the Aging,New York State,"Seniors, Disabled, Caregivers, Low-income, Moderate-income ",,,,,https://mybenefits.ny.gov/web/otda,,,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
New York City Department for the Aging,26,DFTA,Services,"Referrals, Benefits Assistance","Access and Functional Needs, Aging, Disabilities",DFTA oversees and funds a veriety of senior services throughout NYC. ,"The mission of the Department for the Aging (DFTA) is ""to work for the empowerment, independence, dignity and quality of life of New York City's diverse older adults and for the support of their families through advocacy, education and the coordination and delivery of services."" As an agency of City government and an Area Agency on Aging under the federal Administration on Aging, DFTA receives federal, state and city funds to provide essential services for seniors. It channels these  monies to community-based organizations that contract with the  Department to provide needed programs locally throughout the five boroughs. Hot meals and activities at senior centers, home-delivered meals, case management, home care, transportation and legal services are among the services these programs provide.  
","Food, home care, transportation, legal services, access to benefits, support services",Visit website - http://www.nyc.gov/html/dfta/html/about/about.shtml; Call 311; Call Senior Citizen’s Help Line at 1-800-342-9871,New York City Department for the Aging,New York City,"Seniors, Caregivers, Non-profits",,,"2 Lafayette Street, New York, NY 10007",,"http://www.nyc.gov/html/dfta/html/home/home.shtml,   https://a858-ihss.nyc.gov/ihss1/en_US/IHSS_homePage.do",,(800) 342-9871,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,call 311
Senior Citizen Homeowner Assistance Program (SCHAP),27,,"Services, Financial Assistance","For Home Owners, Senior Care, Other Financial Assistance for Housing","Access and Functional Needs, Aging, Disabilities",No- and low-interest loans and technical assitance for senior homeowners living in physically deteriorated housing or in danger of foreclosure,"The Parodneck Foundation's Senior Citizen Homeowner Assistance Program (SCHAP) provides financial assistance to senior citizen homeowners who are living in physically deteriorated housing or who are in danger of losing their homes to foreclosure. The program, which has been in operation since 1986, provides no- and low-interest loans and extensive technical assistance to qualified seniors. This support enables seniors to retain their homes and improve their living conditions, thereby helping them avoid financial insolvency, displacement, and/or loss of independence. To date, the SCHAP program is the only affordable financial and home improvement program in New York City targeted exclusively to low income senior homeowners","Financial assistance, housing assistance","For an application, contact the Parodneck Foundation (212) 431-9700 ext. 300",The Parodneck Foundation,New York City,"Low-income, Moderate-income, Seniors","To be eligible, a senior must reside in any of the five boroughs in the City of New York, be at least 60  years old, and have been an owner-occupant of a one- to four-family home for at least two years.  
                                        Homes must have property and liability Insurance.  Household incomes cannot exceed the income area median income.
                                        ","Age and income verification, homeownership information","121 Avenue of the Americas, #501, New York, NY 10013",,http://www.parodneckfoundation.org/schap.html,,(212) 431-9700 ext300,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Animal Care and Control of New York,28,AC&C,Services,Animals,Animals,"Animal rescue and adoption; Advice for pet owners, veterenary referrals  ","Animal Care & Control has been responsible for New York City's municipal shelter system, rescuing, caring for, and finding loving homes for homeless and abandoned animals in New York City. 44,000 animals rescued each year.",Animal adoption; animal control,Visit the website or one of the borough care centers,AC&C,New York City,"Pet owners, Potential pet owners",,,"11 Park Place, Ste 805, New York, NY 10007; 326 East 110th Street, New York, NY 10029; 2336 Linden Boulevard, Brooklyn, NY 11208; 3139 Veterans Road West, Staten Island, NY 10309; 92-29 Queens Boulevard, Rego Park, NY 11374; 464 East Fordham Road, Bronx, NY 10458",Spanish,http://www.nycacc.org,,(212) 788-4000,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,"Office, 11 Park Place, Ste 805, New York, NY 10007; Manhattan Care Center, 326 East 110th Street, New York, NY 10029; Brooklyn Animal Care Center, 2336 Linden Boulevard, Brooklyn, NY 11208; Staten Island Animal Care Center, 3139 Veterans Road West, Staten Island, NY 10309; Queens Pet Receiving Center, 92-29 Queens Boulevard, Rego Park, NY 11374; Bronx Pet Receiving Center, 464 East Fordham Road, Bronx, NY 10458"
ASPCA,29,The American Society for the Prevention of Cruelty to Animals,Services,Animals,Animals,ASPCA's animal hospital provides veterinary care. Low-income pet owners in need of emergency veterinary care or other resources may be eligible for low cost services. Animal adoption services also available.,"ASPCA’s mission is to provide effective means for the prevention of cruelty to animals throughout the United States. ASPCA provides local and national leadership in three key areas: caring for pets parents and pets, providing positive outcomes for at-risk animals and serving survivors of cruelty. ",Animal adoption; animal control,Visit the website. Low-income pet owners in need of emergency veterinary care or other resources can contact cia@aspca.org or call 212-876-7700 ext 4490. ,ASPCA,"United States, New York City","Pet owners, Potential pet owners",,,"424 E 92nd Street, New York, NY 10128; ",,http://www.aspca.org/nyc,,(212) 876-7700 ext4490,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
Bideawee,30,,Services,Animals,Animals,"Animal rescue and adoption;  Veterenary care; Other services, like pet therapy ","Bideawee is a 106‐year‐old humane agency that saves thousands of homeless cats, kittens, dogs, and puppies every year. Since 1903, Bideawee has provided housing, food, and medical and behavioral care to help formerly abandoned, abused, and neglected pets find and keep new homes and families. Our services for pets support them through every stage of their lives, from fostering and adoption at our New York City and Westhampton (Long Island) locations to our Pet Memorial Parks at our Westhampton and Wantagh (Long Island) sites. Bideawee’s veterinary practices in Westhampton and New York City care for both resident pets and the pets of private clients. In addition, we offer services that foster greater appreciation and respect for the value of companion animals at all three locations, such as pet therapy and our Reading to Dogs program that helps children overcome literacy challenges.",Animal adoption; animal control,"Visit the website, call 866-262-8133, or stop by one of the offices.",Bideawee,"New York City, Long Island","Pet owners, Potential pet owners",,,"410 East 38th Street, New York, NY 10016; 3300 Beltagh Avenue, Wantagh, NY 11793; 118 Old Country Road, Westhampton, NY 11977",,http://www.bideawee.org,,(866) 262-8133,"
Monday – Friday: 9AM – 5PM",,,,,,New York Hurricane Sandy Disaster Recovery Resources,,"New York City Office, 410 East 38th Street, New York, NY 10016; Long Island Office, 3300 Beltagh Avenue, Wantagh, NY 11793; Long Island Office, 118 Old Country Road, Westhampton, NY 11977"
Humane Society of the United States,31,,Assistance for Organizations,"Animals, Advocacy, Resources for Non-profits ",Animals,Animal protection advocacy; support  for animal rescue efforts during disasters,"The Humane Society of the United States (HSUS) promotes the safety and well-being of all animals that are or may be adversely affected during a disaster. Respond to the needs of those who provide emergency and supportive care to animals during all phases of a disaster. Promote the inclusion of the animal component in all federal, state and local government disaster plans, and those developed by the general public, by engaging in an ongoing process of proactive education and mutual awareness of the needs of animals in disasters. Encourage cooperation with other animal protection organizations, veterinary associations, disaster relief agencies, and government officials",Incusion of animals in disaster planning and response,Visit website - www.humanesociety.org ,Humane Society of the United States,United States,Non-Profit; Government Agencies; Municipalities; ,,,"2100 L Street, NW, Washington, D.C. 20037",,www.humanesociety.org ,,(202) 452-1100,,,,,,,New York Hurricane Sandy Disaster Recovery Resources,,
